"('instead', 'optimized', 'cannot', 'words')","[['instead', 'words', 'cannot', 'optimized']]"
"('md2',)",[['md2']]
"('fpu architecture', 'value/negation')","[['fpu architecture', 'value/negation']]"
"('2-2', '4-2')","[['2-2', '4-2']]"
"('even', 'highest', 'last', 'divide', 'bits', 'required', 'approximate', 'high', 'operation a/b,', 'fraction normalization', 'zero exception', 'number denormalized', 'toward', 'longer')","[['highest', 'high', 'last'], ['highest', 'high', 'even', 'bits'], ['highest', 'high', 'even', 'approximate'], ['highest', 'high', 'required', 'fraction normalization'], ['highest', 'high', 'required', 'divide', 'operation a/b,', 'number denormalized', 'zero exception'], ['highest', 'high', 'even', 'toward'], ['highest', 'high', 'even', 'longer'], ['last', 'high', 'even', 'bits'], ['last', 'high', 'even', 'approximate'], ['last', 'high', 'required', 'fraction normalization'], ['last', 'high', 'required', 'divide', 'operation a/b,', 'number denormalized', 'zero exception'], ['last', 'high', 'even', 'toward'], ['last', 'high', 'even', 'longer'], ['bits', 'even', 'approximate'], ['bits', 'even', 'high', 'required', 'fraction normalization'], ['bits', 'even', 'high', 'required', 'divide', 'operation a/b,', 'number denormalized', 'zero exception'], ['bits', 'even', 'toward'], ['bits', 'even', 'longer'], ['approximate', 'even', 'high', 'required', 'fraction normalization'], ['approximate', 'even', 'high', 'required', 'divide', 'operation a/b,', 'number denormalized', 'zero exception'], ['approximate', 'even', 'toward'], ['approximate', 'even', 'longer'], ['fraction normalization', 'required', 'divide', 'operation a/b,', 'number denormalized', 'zero exception'], ['fraction normalization', 'required', 'high', 'even', 'toward'], ['fraction normalization', 'required', 'high', 'even', 'longer'], ['zero exception', 'number denormalized', 'operation a/b,', 'divide', 'required', 'high', 'even', 'toward'], ['zero exception', 'number denormalized', 'operation a/b,', 'divide', 'required', 'high', 'even', 'longer'], ['toward', 'even', 'longer']]"
"('real', '3-3', 'single-precision numbers:', 'numbers', 'logic', 'finite')","[['3-3', 'finite', 'real', 'numbers', 'single-precision numbers:'], ['3-3', 'finite', 'real', 'logic'], ['single-precision numbers:', 'numbers', 'real', 'logic']]"
"('sc3',)",[['sc3']]
"('result formatter,', 'stage', 'operand status', 'simpler')","[['stage', 'result formatter,', 'operand status'], ['stage', 'result formatter,', 'simpler'], ['operand status', 'result formatter,', 'simpler']]"
"('emax', 'underflow exception', 'area-performance', 'emin')","[['emax', 'area-performance', 'underflow exception'], ['emax', 'area-performance', 'emin'], ['underflow exception', 'area-performance', 'emin']]"
"('fpu implementation', 'rom', 'rom access', 'operand swap', 'rsa', 'access', 'isi fpu implementation', 'issue rate', 'alignment')","[['fpu implementation', 'operand swap', 'issue rate', 'alignment', 'rom', 'rsa'], ['fpu implementation', 'operand swap', 'issue rate', 'alignment', 'rom', 'rom access', 'access'], ['fpu implementation', 'operand swap', 'issue rate', 'alignment', 'isi fpu implementation'], ['rsa', 'rom', 'rom access', 'access'], ['rsa', 'rom', 'alignment', 'isi fpu implementation'], ['access', 'rom access', 'rom', 'alignment', 'isi fpu implementation']]"
